station_id,metro_trips,Motivo no Destino e Zona de Origem -  residencia ,empregos,Viagens Diárias Atraídas por Motivo e Zona de Destino –Refeição,emprego Creditícios Financeiro,Funcionário Público,Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino - residencia ,Viagens Diárias Atraídas por Motivo e Zona de Destino – Lazer,emprego servicos -  Administração Pública,Viagens Diárias Atraídas por Motivo e Zona de Destino –assuntos Pessoais,renda até 2.640
155,1166.330378807065,3286.087003295436,2109.5847193321792,25.825943112633297,4.625189212636267,149.28042430110386,2815.3550287741173,106.11180319887073,10.482813458547307,130.75505026693142,536.8886553060271
156,415.77926226234706,896.8220393235647,408.1789775815004,25.651154440495915,0.0,23.01604975103124,1359.6817376048923,31.18452044133174,1.4482539975191073,201.9972082182326,151.8026491758573
157,2035.7761257819727,4235.617261296415,1731.921773859004,0.0,0.0,120.5244883887464,4802.820622663661,265.23599996183066,0.0,86.06119045569966,1009.395965208108
158,3816.447994150479,6912.05386803978,2671.6462114837805,0.0,0.0,233.56187926504873,8497.377400583751,845.404121545061,60.384169664925665,606.2697422685696,1692.4408222723223
159,4960.77815190129,8715.582068679007,3322.274764375934,0.0,0.0,305.58549155178935,10912.785210924441,1189.959229952284,94.28405438909445,904.4318384754217,2147.6285460591944
160,8637.654373381762,14621.564913619732,5474.917328886286,0.0,0.0,536.1842231939651,18728.46296889687,2259.471949774894,196.689956160021,1814.4321278943137,3631.7796587415614
161,5807.046557668667,12583.504160849943,8708.04329965252,0.0,131.2920092096328,322.0690837763896,13558.715469563673,1430.3490157074573,237.86708849022077,996.0260287643517,3343.9412217377676
162,7644.679278293261,11591.61693690831,7750.988730627386,0.0,270.1640581666627,234.48577389740797,20252.416564795014,2439.2230409244794,84.95134470389247,1160.964362491232,4530.158280357317
163,7783.6068464053815,14547.176331594292,7761.815119576982,0.0,73.86003550357316,595.9768935803025,20445.027935982172,3301.8978099114356,172.1074971277676,115.9929721146212,6209.299498033939
164,5983.251934560993,16726.363555832166,10016.143144809754,14.918738804736467,69.21324255284617,611.1423372598515,15451.418719755186,2117.1787222894063,181.3640649553324,1169.1239964547588,4512.064737659226
